workload,tree_type,insertion_time_ns,query_time_ns
workload_N500000000_K0_L0,ART,17894067794,12943449488
workload_N500000000_K0_L0,QuART_stail_reset_bidir,12541145823,13420954093
workload_N500000000_K0_L0,QuIT,19332912153,44958942265
workload_N500000000_K100_L1,ART,77560709586,72505790610
workload_N500000000_K100_L1,QuART_stail_reset_bidir,81396444052,75581599511
workload_N500000000_K100_L1,QuIT,171385596436,186419548727
workload_N500000000_K100_L10,ART,122884920743,106342967004
workload_N500000000_K100_L10,QuART_stail_reset_bidir,125045716317,106884344451
workload_N500000000_K100_L10,QuIT,289475943696,302432549921
workload_N500000000_K100_L100,ART,135669422841,126068343197
workload_N500000000_K100_L100,QuART_stail_reset_bidir,136206460651,132081872113
workload_N500000000_K100_L100,QuIT,240174490702,263891855118
workload_N500000000_K100_L25,ART,148109184943,133785361463
workload_N500000000_K100_L25,QuART_stail_reset_bidir,151414625689,136912323712
workload_N500000000_K100_L25,QuIT,292589029232,306951686083
workload_N500000000_K100_L5,ART,107408637785,92318543191
workload_N500000000_K100_L5,QuART_stail_reset_bidir,ERROR,ERROR
workload_N500000000_K100_L5,QuIT,259860893045,274500056156
workload_N500000000_K10_L1,ART,24721785749,21230401104
workload_N500000000_K10_L1,QuART_stail_reset_bidir,20141639490,21435065852
workload_N500000000_K10_L1,QuIT,45396220835,65528550747
workload_N500000000_K10_L10,ART,32595139155,28284990362
workload_N500000000_K10_L10,QuART_stail_reset_bidir,27800394419,28772535933
workload_N500000000_K10_L10,QuIT,53976941623,73500703029
workload_N500000000_K10_L100,ART,36924139764,33103984239
workload_N500000000_K10_L100,QuART_stail_reset_bidir,32812337099,35292476171
workload_N500000000_K10_L100,QuIT,64026405457,86582362200
workload_N500000000_K10_L25,ART,35682462221,31619097025
workload_N500000000_K10_L25,QuART_stail_reset_bidir,30921422219,31311468693
workload_N500000000_K10_L25,QuIT,61376914561,80057568526
workload_N500000000_K10_L5,ART,29682498522,25140421671
workload_N500000000_K10_L5,QuART_stail_reset_bidir,24996849847,25346402192
workload_N500000000_K10_L5,QuIT,52232713597,72115789017
workload_N500000000_K1_L1,ART,18861616615,15702583371
workload_N500000000_K1_L1,QuART_stail_reset_bidir,13765007773,15454496654
workload_N500000000_K1_L1,QuIT,25929465664,47253957840
workload_N500000000_K1_L10,ART,19585588644,16082657415
workload_N500000000_K1_L10,QuART_stail_reset_bidir,14805468067,16404159117
workload_N500000000_K1_L10,QuIT,26833662199,48617715314
workload_N500000000_K1_L100,ART,19623312394,16051798452
workload_N500000000_K1_L100,QuART_stail_reset_bidir,14911551626,16513468365
workload_N500000000_K1_L100,QuIT,27435162463,49591720346
workload_N500000000_K1_L25,ART,19600453273,15827914618
workload_N500000000_K1_L25,QuART_stail_reset_bidir,14567154833,16304530134
workload_N500000000_K1_L25,QuIT,26922665064,49109103565
workload_N500000000_K1_L5,ART,19420285620,15504893535
workload_N500000000_K1_L5,QuART_stail_reset_bidir,14427670955,16656568885
workload_N500000000_K1_L5,QuIT,27079345164,48436999079
workload_N500000000_K25_L1,ART,32696248584,30277876324
workload_N500000000_K25_L1,QuART_stail_reset_bidir,31148743017,31051707622
workload_N500000000_K25_L1,QuIT,70104127500,85691895820
workload_N500000000_K25_L10,ART,51798548684,43659608229
workload_N500000000_K25_L10,QuART_stail_reset_bidir,48106699289,44029683387
workload_N500000000_K25_L10,QuIT,96033245948,112262959180
workload_N500000000_K25_L100,ART,61028169173,55801575013
workload_N500000000_K25_L100,QuART_stail_reset_bidir,55904126408,55543558030
workload_N500000000_K25_L100,QuIT,111428906183,130842101047
workload_N500000000_K25_L25,ART,59287512485,52884585652
workload_N500000000_K25_L25,QuART_stail_reset_bidir,57038378940,54621793744
workload_N500000000_K25_L25,QuIT,109300405941,127800589719
workload_N500000000_K25_L5,ART,45533629967,37877018651
workload_N500000000_K25_L5,QuART_stail_reset_bidir,43279173799,39697648483
workload_N500000000_K25_L5,QuIT,90270541129,108178573289
workload_N500000000_K5_L1,ART,22369990609,18587576605
workload_N500000000_K5_L1,QuART_stail_reset_bidir,16847563424,18013724457
workload_N500000000_K5_L1,QuIT,35789279370,55606708362
workload_N500000000_K5_L10,ART,25964162238,21988365730
workload_N500000000_K5_L10,QuART_stail_reset_bidir,21552816191,22875156176
workload_N500000000_K5_L10,QuIT,39447351644,60306431516
workload_N500000000_K5_L100,ART,27153997256,23292648632
workload_N500000000_K5_L100,QuART_stail_reset_bidir,23335399563,24143281993
workload_N500000000_K5_L100,QuIT,44721379823,65838980985
workload_N500000000_K5_L25,ART,27021076997,22898338901
workload_N500000000_K5_L25,QuART_stail_reset_bidir,22048313424,23309379980
workload_N500000000_K5_L25,QuIT,40839744186,61882764419
workload_N500000000_K5_L5,ART,24687591723,19926329176
workload_N500000000_K5_L5,QuART_stail_reset_bidir,19469679127,20231898971
workload_N500000000_K5_L5,QuIT,38766332764,58318643597
